genre;artist_name;track_name;popularity;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence
Classical;Wolfgang Amadeus Mozart;Grabmusik, K. 42: III. Geliebte Seel' (Live);14;0.942;0.35;79333;0.0761;0;0.156;-22.003;0.0352;140.044;0.0293
Classical;Wolfgang Amadeus Mozart;Requiem in D Minor, K. 626: IIIb. Sequence No. 2, Tuba mirum (Live);13;0.991;0.236;261000;0.0753;0.00315;0.0858;-23.232;0.0426;122.973;0.3
Classical;Wolfgang Amadeus Mozart;12 Duets (No. 10 Andante) - Violin Version;2;0.994;0.24;48000;0.251;0.958;0.102;-11.31;0.0394;99.234;0.16
Classical;FrÇdÇric Chopin;Mazurkas, Op. 50: No. 2 in A-Flat Major;32;0.996;0.387;136293;0.0222;0.922;0.12;-29.504;0.14;112.36;0.0687
Classical;FrÇdÇric Chopin;MÇlodies Polonaises, Op. 74: No. 9, Melodia (Lamento);29;0.994;0.358;154147;0.205;1.45e-05;0.149;-13.588;0.043;87.696;0.518
Classical;FrÇdÇric Chopin;Preludes, Op. 28: No. 12 in G-Sharp Minor (Presto);25;0.993;0.47;70987;0.204;0.915;0.118;-21.667;0.0653;138.257;0.0398
Classical;Ludwig van Beethoven;Fidelio, Op. 72, Act I: Wenn ich diese TÅr nicht (Live);0;0.644;0.415;64760;0.0197;0;0.197;-34.225;0.0369;74.338;0.228
Classical;Ludwig van Beethoven;"Piano Sonata No. 8 in C Minor, Op. 13 ""PathÇtique"": II. Adagio cantabile";0;0.993;0.38;297372;0.0414;0.923;0.113;-22.443;0.035;75.241;0.547
Classical;Johann Sebastian Bach;Violin Partita No. 1 in B Minor, BWV 1002: IV. Double. Presto;23;0.993;0.332;219947;0.23;0.872;0.111;-23.125;0.062;99.962;0.0356
Classical;Johann Sebastian Bach;St. John Passion, BWV 245, Pt. 2: No. 17, Ach gro·er Kînig;17;0.982;0.173;86401;0.102;0.0349;0.146;-24.937;0.0387;86.998;0.335
Classical;Johann Sebastian Bach;Suite No. 4 in E-Flat Major, BWV 1010: III. Courante;0;0.93;0.419;223053;0.104;0.73;0.101;-22.483;0.0334;85.567;0.0516
Classical;Johann Sebastian Bach;Suite No. 6 in D Major, BWV 1012: VII. Gigue;0;0.975;0.401;277600;0.125;0.301;0.101;-16.934;0.0552;85.828;0.0586
Classical;Johann Sebastian Bach;"Cantata ""Gott soll allein mein Herze haben"", BWV 169: VII. Chorale ""Du sÅ·e Liebe, schenk uns deine Gunst""";0;0.932;0.221;66453;0.227;0.854;0.101;-13.988;0.27;143.976;0.566
Classical;Johann Sebastian Bach;St. Matthew Passion, BWV 244, Pt. 2: No. 31, Die aber Jesum gegriffen hatten, fÅhreten ihn zu dem Hohenpriester Kaiphas;0;0.783;0.505;55893;0.0433;0;0.152;-29.855;0.0394;112.184;0.852
Classical;Johann Sebastian Bach;"Cantata ""Gott soll allein mein Herze haben"", BWV 169: VI. Recitative ""Doch meint es auch dabei""";0;0.994;0.514;31787;0.144;0.00339;0.114;-17.243;0.166;74.995;0.711
Classical;Johannes Brahms;Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano);62;0.989;0.205;109800;0.00832;0.598;0.104;-33.503;0.0437;138.039;0.363
Classical;Ludwig van Beethoven;Diabelli Variations, Op. 120: Thema - Vivace;29;0.983;0.583;53920;0.228;0.86;0.146;-23.667;0.038;130.97;0.0642
Classical;Ludwig van Beethoven;6 Bagatelles, Op. 126: No. 5, Quasi allegretto;27;0.985;0.412;117360;0.0273;0.954;0.118;-31.813;0.0345;92.471;0.634
Classical;Ludwig van Beethoven;Eroica Variations in E-Flat Major, Op. 35: Var. 1;0;0.984;0.465;39962;0.24;0.94;0.129;-24.606;0.0531;130.08;0.652
Classical;Johann Sebastian Bach;Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: I. PrÇlude;61;0.988;0.326;150973;0.0993;0.916;0.108;-22.496;0.179;144.843;0.158
Classical;Franz Liszt;En ràve, nocturne, S. 207;57;0.983;0.29;154400;0.0077;0.921;0.0787;-38.933;0.0325;83.27;0.0368
Classical;Claude Debussy;Deux arabesques, L. 66: No. 1, Andantino con moto in E Major;0;0.993;0.313;234973;0.017;0.883;0.0548;-29.271;0.117;79.792;0.0659
Classical;Edward Elgar;Sospiri, Opus 70;55;0.797;0.169;307027;0.027;0.92;0.117;-30.15;0.0458;99.324;0.0482
Classical;Claude Debussy;Suite Bergamasque, L. 75: III. Clair de lune;56;0.993;0.278;333707;0.00448;0.926;0.0579;-32.897;0.0478;85.275;0.48
Classical;Gustav Mahler;Symphony No.5 In C Sharp Minor: 4. Adagietto (Sehr langsam);53;0.839;0.074;659000;0.0114;0.883;0.122;-32.866;0.0429;71.606;0.276
Classical;Erik Satie;3 Gymnopedies (orch. Debussy): No. 1: Lent et douloureux (orch. Debussy);51;0.961;0.155;242760;0.0369;0.75;0.139;-27.885;0.0552;97.347;0.0393
Classical;Claude Debussy;Debussy: Arabesques, L. 74: No. 1;51;0.991;0.276;205200;0.0821;0.924;0.11;-23.464;0.043;121.914;0.461
Classical;Franz Schubert;II. Adagio;5;0.91;0.154;865940;0.0556;0.627;0.131;-20.387;0.108;163.219;0.126
Classical;Franz Liszt;Via Crucis, S. 53: Station IV. Jesus begegnet seiner heiligen;15;0.985;0.462;120227;0.00211;0.925;0.103;-46.122;0.0478;104.31;0.152
Classical;Johannes Brahms;Serenade No. 1 in D Major, Op. 11: V. Scherzo. Allegro;0;0.97;0.438;174387;0.209;0.907;0.0918;-14.845;0.0523;146.58;0.859
Classical;Ludwig van Beethoven;"Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2 ""Moonlight"": I. Adagio sostenuto";47;0.995;0.377;358694;0.0187;0.881;0.12;-28.914;0.0452;75.501;0.178
Classical;LÇo Delibes;Flower duet from Lakme - RemasterisÇ en 1987;55;0.97;0.224;210720;0.121;0.622;0.264;-19.321;0.0519;126.447;0
Classical;FrÇdÇric Chopin;12 êtudes, Op. 25: êtude No. 11 in A Minor;48;0.967;0.328;211907;0.203;0.895;0.11;-21.742;0.0476;127.173;0.507
Classical;George Frideric Handel;Concerto in D Minor, Op.7, No.4: I. Adagio;54;0.942;0.0685;285840;0.0173;0.66;0.1;-26.846;0.0475;134.119;0.291
Classical;Ludwig van Beethoven;Piano Sonata No. 14 in C-Sharp Minor, Op.27 No. 2, ''Moonlight'': I. Adagio sostenuto (Excerpt);45;0.995;0.327;237480;0.015;0.924;0.13;-33.58;0.0407;83.336;0.27
Classical;FrÇdÇric Chopin;Waltz in G-Flat Major, Op. 70 No. 1;49;0.987;0.414;125000;0.0575;0.91;0.0666;-26.269;0.0435;169.011;0.134
Classical;Anton°n Dvo?†k;Rusalka, Op. 114, B. 203, Act III: Mil†?ku, zn†? mne, zn†?? (Live);0;0.966;0.196;281520;0.109;4.85e-06;0.615;-17.711;0.0455;115.206;0.522
Classical;Robert Schumann;Symphonic Etudes for Piano, Op. 13: êtude IX. Presto possibile;13;0.995;0.491;36547;0.194;0.93;0.104;-18.564;0.0371;113.293;0.323
Classical;Wolfgang Amadeus Mozart;Concerto No. 21 in C Major for Piano and Orchestra, K. 467: II. Andante;40;0.984;0.251;463000;0.025;0.953;0.0938;-30.016;0.0624;118.704;0.336
Classical;Georges Bizet;Jeux d'enfants, Op.22 WD 56: 3. La poupÇe;43;0.996;0.538;141787;0.00652;0.912;0.104;-37.533;0.0786;81.837;0.405
Classical;Claude Debussy;PrÇludes / Book 1, L.117: 8. La fille aux cheveux de lin - Live;47;0.991;0.333;189000;0.00256;0.935;0.0544;-40.295;0.0486;117.191;0.253
