PGA;PSP;N_cursos;N_aprob;Ranking
5.45;4.83;7;7;9
5.08;4.69;4;4;44
5.47;4.86;4;4;33
4.6;4.66;3;2;56
4.56;4.69;4;3;59
4.38;4.99;6;4;40
4.66;4.7;7;5;37
4.33;4.6;6;4;57
4.71;4.95;5;3;43
4.05;4.93;5;2;66
5.63;5.61;5;5;20
5.17;5.06;5;4;44
6.7;5.09;1;1;1
5.8;5.11;7;7;9
5.48;5.14;6;6;6
4.38;4.66;6;4;42
6.62;6.26;7;7;3
5.19;5.38;8;6;30
5.43;4.94;9;8;23
5.16;4.81;6;6;25
5.84;5.16;7;6;13
5.65;5.07;7;7;19
5.74;5.07;7;7;7
5.11;4.63;5;4;33
5.9;5.54;2;2;2
1;4.14;3;0;28
1.9;2.4;6;1;41
4.97;5.14;3;2;6
4.59;4.78;6;4;7
5.8;5.78;7;7;14
6.14;6.28;7;7;22
6.11;6.24;7;7;7
5.93;6.03;7;7;17
5.3;5.62;7;6;44
5.43;5.66;7;7;39
5.25;5.48;7;6;45
5.77;5.72;7;7;25
5.22;5.15;3;2;21
4.88;4.99;6;5;43
4.71;4.81;6;6;46
5.93;5.53;6;6;8
6.26;5.51;2;2;1
6.12;5.99;7;7;11
4.6;4.81;2;1;8
6.24;5.66;3;3;5
6.14;6.2;5;5;2
3.9;4.24;5;3;29
5.12;4.88;8;8;11
3.99;4.61;5;4;25
5.77;5.18;5;5;4
5.01;5.28;7;6;49
4.55;4.61;6;5;13
6.6;5.27;1;1;9
5.81;5.35;5;4;8
6.4;5.97;1;1;6
6.4;5.92;6;4;6
3.9;4.04;5;2;53
5.57;5.03;4;4;27
4.67;4.73;3;3;49
6.63;6.29;6;6;2
5.91;6.23;7;7;4
5.8;5.88;7;7;8
5.78;5.36;6;6;27
5.04;4.91;8;5;18
4.83;4.92;7;5;16
4.28;4.78;5;2;25
5.8;5.63;6;6;13
6.6;6.6;4;4;1
3.89;4.45;4;2;35
6.09;6.35;6;6;11
4.98;4.77;7;7;10
5.83;5.7;5;5;22
6.62;6.49;10;10;2
5.29;5.19;6;5;3
5.95;5.87;7;7;5
5.86;5.49;6;6;6
5.21;5.53;7;7;13
4.96;5.25;7;7;21
5.23;5.36;7;7;12
6.78;6.33;7;7;1
6.54;6.31;8;8;4
5.56;5.55;8;7;28
5.67;5.62;8;8;33
6.73;6.37;7;7;9
6.62;6.49;6;6;21
5.58;5.91;7;7;30
6.4;5.2;2;2;6
7;5.44;2;2;1
5.9;5.88;3;3;11
4.65;4.89;6;4;45
4.65;5.32;7;5;66
5.29;5.67;7;7;15
6.11;6.07;7;7;1
6.44;5.61;9;9;2
4.44;4.69;5;4;14
5.78;5.07;8;7;7
4.5;4.62;4;3;13
4.42;4.53;6;5;15
5.88;5.07;7;7;6
4.21;4.87;3;2;23
4.73;4.89;6;5;18
4.78;4.79;4;4;16
6.37;5.76;6;6;1
4.57;5.1;6;5;20
5.08;5.14;6;6;14
1.27;3.88;4;0;47
1.81;4.06;3;0;43
1.56;3.09;7;1;45
2.28;3.6;5;1;48
4.1;4.23;4;1;22
4.97;6.02;7;6;46
6.18;6.44;7;7;6
6.3;5.44;4;4;2
5.4;5.48;1;1;9
6.26;5.39;6;6;2
5.88;5.39;4;4;5
3.75;4.78;5;2;15
3.03;4.42;5;2;18
5.22;5.81;4;4;23
5.18;5.46;6;6;33
5.13;5.69;7;7;8
3.1;4.75;6;1;48
2.95;4.09;5;2;24
5.7;5.83;6;6;5
2.08;3.74;5;1;22
3.74;4.9;4;1;17
1.66;3.31;4;0;28
4.6;4.79;2;1;4
2.11;3.3;4;0;25
3.55;4.39;2;1;30
4.85;5.06;5;3;12
1.2;3.45;2;0;41
3.03;4.48;3;1;33
2.9;4.44;3;1;34
1.9;2.85;4;2;40
4.23;4.24;4;3;7
6.37;6.32;6;6;3
6.46;6.38;8;8;1
6.17;5.49;5;5;24
6.6;6.17;7;7;8
6.58;6.13;6;6;10
6.17;4.85;3;3;1
6.08;5.73;4;4;1
6.44;6.29;3;3;15
6.6;6.12;3;3;9
6.78;6.03;3;3;4
6.79;6.23;3;3;3
6.47;5.91;3;3;13
5.16;5.36;8;6;33
6.5;6.17;6;6;1
5.66;5.86;6;6;21
5.76;5.29;3;3;20
5.69;5.57;7;7;21
6.09;6.15;8;8;17
6.25;6.09;8;8;13
6;5.58;8;8;23
1.48;2.98;4;0;33
5.32;4.84;3;3;6
2.46;4.1;2;1;27
1.76;2.92;4;1;30
2.24;2.59;6;0;64
3.08;5.18;4;2;2
6.07;5.84;8;6;12
6.73;6.47;7;7;2
6.7;6.54;7;7;6
5.92;5.92;8;6;22
5.75;4.73;6;6;27
4.23;5.28;3;3;34
5.31;5.5;3;3;13
6.09;6.14;6;6;19
5.74;5.72;5;5;29
6.66;6.18;3;3;1
5.92;5.75;7;7;25
4.58;4.99;8;7;31
5.88;6.01;6;6;20
5.9;5.76;1;1;18
6.75;5.76;2;2;1
1.09;4.38;6;0;46
5.76;6.04;7;7;32
5.72;6.01;6;6;21
2.05;1.58;4;0;31
5.95;4.95;4;4;3
6.5;5.59;2;2;8
3.69;4.61;4;2;21
6.57;5.89;6;6;5
