"V1" "V2" "V3" "V4" "V5" "V6" "V7"
"9" 16.63 15.46 6.053 3.465 2.04 5.877 1
"120" 20.03 16.9 6.493 3.857 3.063 6.32 2
"139" 15.6 15.11 5.832 3.286 2.725 5.752 2
"194" 10.82 12.83 5.18 2.63 4.853 5.089 3
"49" 14.79 14.52 5.545 3.291 2.704 5.111 1
"12" 14.03 14.16 5.438 3.201 1.717 5.001 1
"10" 16.44 15.25 5.884 3.505 1.969 5.533 1
"14" 13.78 14.06 5.479 3.156 3.136 4.872 1
"92" 18.76 16.2 6.172 3.796 3.12 6.053 2
"66" 12.88 13.5 5.139 3.119 2.352 4.607 1
"168" 12.15 13.45 5.417 2.837 3.638 5.338 3
"23" 15.88 14.9 5.618 3.507 0.765 5.091 1
"123" 16.17 15.38 5.762 3.387 4.286 5.703 2
"81" 16.53 15.34 5.875 3.467 5.532 5.88 2
"105" 18.95 16.42 6.248 3.755 3.368 6.148 2
"188" 10.91 12.8 5.088 2.675 4.179 4.956 3
"182" 12.46 13.41 5.236 3.017 4.987 5.147 3
"133" 15.38 14.9 5.884 3.268 4.462 5.795 2
"134" 16.16 15.33 5.845 3.395 4.266 5.795 2
"193" 11.87 13.02 5.132 2.953 3.597 5.132 3
"190" 10.59 12.41 4.899 2.787 4.975 4.794 3
"114" 19.14 16.61 6.259 3.737 6.682 6.053 2
"56" 15.03 14.77 5.702 3.212 1.933 5.439 1
"174" 11.4 13.08 5.136 2.763 5.588 5.089 3
"167" 12.44 13.59 5.319 2.897 4.924 5.27 3
"38" 17.08 15.38 5.832 3.683 2.956 5.484 1
"165" 11.14 12.79 5.011 2.794 6.388 5.049 3
"69" 14.37 14.39 5.569 3.153 1.464 5.3 1
"55" 14.52 14.6 5.741 3.113 1.481 5.487 1
"112" 19.38 16.72 6.303 3.791 3.678 5.965 2
"53" 14.49 14.61 5.715 3.113 4.116 5.396 1
"28" 12.74 13.67 5.395 2.956 2.504 4.869 1
"203" 11.18 12.72 5.009 2.81 4.051 4.828 3
"45" 15.11 14.54 5.579 3.462 3.128 5.18 1
"137" 17.36 15.76 6.145 3.574 3.526 5.971 2
"99" 18.17 16.26 6.271 3.512 2.853 6.273 2
"109" 19.94 16.92 6.675 3.763 3.252 6.55 2
"178" 10.74 12.73 5.145 2.642 4.702 4.963 3
"48" 14.99 14.56 5.57 3.377 2.958 5.175 1
"169" 11.35 13.12 5.176 2.668 4.337 5.132 3
"199" 12.62 13.67 5.41 2.911 3.306 5.231 3
"189" 11.23 12.82 5.089 2.821 7.524 4.957 3
"78" 20.71 17.23 6.579 3.814 4.451 6.451 2
"41" 13.54 13.85 5.348 3.156 2.587 5.178 1
"144" 12.22 13.32 5.224 2.967 5.469 5.221 3
"89" 21.18 17.21 6.573 4.033 5.78 6.231 2
"98" 18.98 16.57 6.449 3.552 2.144 6.453 2
"198" 13.37 13.78 5.32 3.128 4.67 5.091 3
"143" 13.34 13.95 5.389 3.074 5.995 5.307 3
"176" 10.8 12.57 4.981 2.821 4.773 5.063 3
"88" 18.98 16.66 6.549 3.67 3.691 6.498 2
"61" 11.42 12.86 5.008 2.85 2.7 4.607 1
"125" 15.99 14.89 5.363 3.582 3.336 5.144 2
"164" 12.55 13.57 5.333 2.968 4.419 5.176 3
"16" 14.59 14.28 5.351 3.333 4.185 4.781 1
"30" 13.45 14.02 5.516 3.065 3.531 5.097 1
"76" 16.77 15.62 5.927 3.438 4.92 5.795 2
"26" 16.19 15.16 5.833 3.421 0.903 5.307 1
"117" 18.96 16.2 6.051 3.897 4.334 5.75 2
"185" 12.89 13.77 5.495 3.026 6.185 5.316 3
"4" 13.84 13.94 5.324 3.379 2.259 4.805 1
"111" 18.45 16.12 6.107 3.769 2.235 5.794 2
"63" 12.36 13.19 5.076 3.042 3.22 4.605 1
"32" 15.49 14.94 5.757 3.371 3.412 5.228 1
"82" 18.72 16.19 6.006 3.857 5.324 5.879 2
"65" 12.78 13.57 5.262 3.026 1.176 4.782 1
"119" 18.89 16.23 6.227 3.769 3.639 5.966 2
"136" 15.38 14.66 5.477 3.465 3.6 5.439 2
"77" 17.32 15.91 6.064 3.403 3.824 5.922 2
"141" 13.07 13.92 5.472 2.994 5.304 5.395 3
"86" 18.27 16.09 6.173 3.651 2.443 6.197 2
"57" 14.46 14.35 5.388 3.377 2.802 5.044 1
"101" 16.41 15.25 5.718 3.525 4.217 5.618 2
"91" 20.1 16.99 6.581 3.785 1.955 6.449 2
"29" 14.11 14.18 5.541 3.221 2.754 5.038 1
"102" 17.99 15.86 5.89 3.694 2.068 5.837 2
"13" 13.89 14.02 5.439 3.199 3.986 4.738 1
"79" 18.94 16.49 6.445 3.639 5.064 6.362 2
"50" 14.86 14.67 5.678 3.258 2.129 5.351 1
"72" 16.84 15.67 5.998 3.484 4.675 5.877 2
"126" 18.75 16.18 6.111 3.869 4.188 5.992 2
"60" 12.11 13.47 5.159 3.032 1.502 4.519 1
"19" 14.7 14.21 5.205 3.466 1.767 4.649 1
"25" 15.01 14.76 5.789 3.245 1.791 5.001 1
"90" 20.88 17.05 6.45 4.032 5.016 6.321 2
"206" 12.19 13.2 5.137 2.981 3.631 4.87 3
"202" 12.67 13.32 4.984 3.135 2.3 4.745 3
"42" 13.5 13.85 5.351 3.158 2.249 5.176 1
"70" 12.73 13.75 5.412 2.882 3.533 5.067 1
"149" 12.7 13.71 5.386 2.911 3.26 5.316 3
"181" 11.41 12.95 5.09 2.775 4.957 4.825 3
"197" 12.79 13.53 5.224 3.054 5.483 4.958 3
"43" 13.16 13.55 5.138 3.201 2.461 4.783 1
"195" 12.11 13.27 5.236 2.975 4.132 5.012 3
"47" 15.36 14.76 5.701 3.393 1.367 5.132 1
"209" 11.84 13.21 5.175 2.836 3.598 5.044 3
"87" 18.88 16.26 6.084 3.764 1.649 6.109 2
"155" 11.36 13.05 5.175 2.755 4.048 5.263 3
"158" 12.13 13.73 5.394 2.745 4.825 5.22 3
"208" 13.2 13.66 5.236 3.232 8.315 5.056 3
"146" 11.21 13.13 5.279 2.687 6.169 5.275 3
"191" 10.93 12.8 5.046 2.717 5.398 5.045 3
"96" 16.87 15.65 6.139 3.463 3.696 5.967 2
"24" 12.08 13.23 5.099 2.936 1.415 4.961 1
"35" 15.05 14.68 5.712 3.328 2.129 5.36 1
"34" 13.94 14.17 5.585 3.15 2.124 5.012 1
"3" 14.29 14.09 5.291 3.337 2.699 4.825 1
"39" 14.8 14.52 5.656 3.288 3.112 5.309 1
"8" 14.11 14.1 5.42 3.302 2.7 5 1
"36" 16.12 15 5.709 3.485 2.27 5.443 1
"113" 19.13 16.31 6.183 3.902 2.109 5.924 2
"200" 12.76 13.38 5.073 3.155 2.828 4.83 3
"205" 12.37 13.47 5.204 2.96 3.919 5.001 3
"172" 11.55 13.1 5.167 2.845 6.715 4.956 3
"160" 11.49 13.22 5.304 2.695 5.388 5.31 3
"5" 16.14 14.99 5.658 3.562 1.355 5.175 1
"22" 14.11 14.26 5.52 3.168 2.688 5.219 1
"135" 15.56 14.89 5.776 3.408 4.972 5.847 2
"154" 11.18 13.04 5.22 2.693 3.332 5.001 3
"15" 13.74 14.05 5.482 3.114 2.932 4.825 1
"170" 11.24 13 5.09 2.715 3.521 5.088 3
"74" 19.11 16.26 6.154 3.93 2.936 6.079 2
"20" 12.72 13.57 5.226 3.049 4.102 4.914 1
"163" 12.05 13.41 5.267 2.847 4.988 5.046 3
"100" 18.72 16.34 6.219 3.684 2.188 6.097 2
"122" 18.14 16.12 6.059 3.563 3.619 6.011 2
"68" 14.01 14.29 5.609 3.158 2.217 5.132 1
"21" 14.16 14.4 5.658 3.129 3.072 5.176 1
"140" 16.23 15.18 5.872 3.472 3.769 5.922 2
"59" 15.38 14.77 5.662 3.419 1.999 5.222 1
"31" 13.16 13.82 5.454 2.975 0.855 5.056 1
"156" 11.19 13.05 5.25 2.675 5.813 5.219 3
"157" 11.34 12.87 5.053 2.849 3.347 5.003 3
"84" 19.57 16.74 6.384 3.772 1.472 6.273 2
"138" 15.57 15.15 5.92 3.231 2.64 5.879 2
"103" 19.46 16.5 6.113 3.892 4.308 6.009 2
"210" 12.3 13.34 5.243 2.974 5.637 5.063 3
"33" 14.09 14.41 5.717 3.186 3.92 5.299 1
"124" 18.43 15.97 5.98 3.771 2.984 5.905 2
"44" 15.5 14.86 5.877 3.396 4.711 5.528 1
"93" 18.81 16.29 6.272 3.693 3.237 6.053 2
"196" 12.8 13.47 5.16 3.126 4.873 4.914 3
"94" 18.59 16.05 6.037 3.86 6.001 5.877 2
"184" 11.65 13.07 5.108 2.85 5.209 5.135 3
"162" 12.02 13.33 5.35 2.81 4.271 5.308 3
"127" 18.65 16.41 6.285 3.594 4.391 6.102 2
"187" 11.81 13.45 5.413 2.716 4.898 5.352 3
"171" 11.02 13 5.325 2.701 6.735 5.163 3
"85" 19.51 16.71 6.366 3.801 2.962 6.185 2
"110" 18.55 16.22 6.153 3.674 1.738 5.894 2
"145" 11.82 13.4 5.314 2.777 4.471 5.178 3
"6" 14.38 14.21 5.386 3.312 2.462 4.956 1
"173" 11.27 12.97 5.088 2.763 4.309 5 3
"201" 12.38 13.44 5.219 2.989 5.472 5.045 3
"177" 11.26 13.01 5.186 2.71 5.335 5.092 3
"161" 12.54 13.67 5.451 2.879 3.082 5.491 3
"106" 18.83 16.29 6.037 3.786 2.553 5.879 2
"7" 14.69 14.49 5.563 3.259 3.586 5.219 1
"159" 11.75 13.52 5.444 2.678 4.378 5.31 3
"58" 14.92 14.43 5.384 3.412 1.142 5.088 1
"116" 19.06 16.45 6.416 3.719 2.248 6.163 2
"83" 20.2 16.89 6.285 3.864 5.173 6.187 2
"129" 20.16 17.03 6.513 3.773 1.91 6.185 2
"52" 15.78 14.91 5.674 3.434 5.593 5.136 1
"2" 14.88 14.57 5.554 3.333 1.018 4.956 1
"11" 15.26 14.85 5.714 3.242 4.543 5.314 1
"204" 12.7 13.41 5.183 3.091 8.456 5 3
"51" 14.43 14.4 5.585 3.272 3.975 5.144 1
"207" 11.23 12.88 5.14 2.795 4.325 5.003 3
"186" 11.56 13.31 5.363 2.683 4.062 5.182 3
"54" 14.33 14.28 5.504 3.199 3.328 5.224 1
"183" 12.19 13.36 5.24 2.909 4.857 5.158 3
"142" 13.32 13.94 5.541 3.073 7.035 5.44 3
"37" 16.2 15.27 5.826 3.464 2.823 5.527 1
"130" 17.55 15.66 5.791 3.69 5.366 5.661 2
"108" 17.63 15.86 6.033 3.573 3.747 5.929 2
"131" 18.3 15.89 5.979 3.755 2.837 5.962 2
"27" 13.02 13.76 5.395 3.026 3.373 4.825 1
"95" 18.36 16.52 6.666 3.485 4.933 6.448 2
"40" 14.28 14.17 5.397 3.298 6.685 5.001 1
"152" 12.01 13.52 5.405 2.776 6.992 5.27 3
"104" 19.18 16.63 6.369 3.681 3.357 6.229 2
"147" 11.43 13.13 5.176 2.719 2.221 5.132 3
"67" 14.34 14.37 5.63 3.19 1.313 5.15 1
"1" 15.26 14.84 5.763 3.312 2.221 5.22 1
"132" 18.94 16.32 6.144 3.825 2.908 5.949 2
"107" 18.85 16.17 6.152 3.806 2.843 6.2 2
"71" 17.63 15.98 6.191 3.561 4.076 6.06 2
"128" 17.98 15.85 5.979 3.687 2.257 5.919 2
"148" 12.49 13.46 5.267 2.967 4.421 5.002 3
"153" 12.26 13.6 5.408 2.833 4.756 5.36 3
"166" 12.1 13.15 5.105 2.941 2.201 5.056 3
"151" 11.83 13.23 5.263 2.84 5.195 5.307 3
"115" 20.97 17.25 6.563 3.991 4.677 6.316 2
"121" 20.24 16.91 6.315 3.962 5.901 6.188 2
"64" 13.22 13.84 5.395 3.07 4.157 5.088 1
"179" 11.48 13.05 5.18 2.758 5.876 5.002 3
"62" 11.23 12.63 4.902 2.879 2.269 4.703 1
"17" 13.99 13.83 5.119 3.383 5.234 4.781 1
"73" 17.26 15.73 5.978 3.594 4.539 5.791 2
"97" 19.31 16.59 6.341 3.81 3.477 6.238 2
"175" 10.83 12.96 5.278 2.641 5.182 5.185 3
"18" 15.69 14.75 5.527 3.514 1.599 5.046 1
"150" 10.79 12.93 5.317 2.648 5.462 5.194 3
"46" 13.8 14.04 5.376 3.155 1.56 4.961 1
"192" 11.27 12.86 5.091 2.804 3.985 5.001 3
"80" 17.12 15.55 5.85 3.566 2.858 5.746 2
"75" 16.82 15.51 6.017 3.486 4.004 5.841 2
"180" 12.21 13.47 5.357 2.893 1.661 5.178 3
"118" 19.15 16.45 6.245 3.815 3.084 6.185 2
