"V1" "V2" "V3" "V4" "V5" "V6"
"1" 16.63 15.46 6.053 3.465 2.04 5.877
"2" 20.03 16.9 6.493 3.857 3.063 6.32
"3" 15.6 15.11 5.832 3.286 2.725 5.752
"4" 10.82 12.83 5.18 2.63 4.853 5.089
"5" 14.79 14.52 5.545 3.291 2.704 5.111
"6" 14.03 14.16 5.438 3.201 1.717 5.001
"7" 16.44 15.25 5.884 3.505 1.969 5.533
"8" 13.78 14.06 5.479 3.156 3.136 4.872
"9" 18.76 16.2 6.172 3.796 3.12 6.053
"10" 12.88 13.5 5.139 3.119 2.352 4.607
"11" 12.15 13.45 5.417 2.837 3.638 5.338
"12" 15.88 14.9 5.618 3.507 0.765 5.091
"13" 16.17 15.38 5.762 3.387 4.286 5.703
"14" 16.53 15.34 5.875 3.467 5.532 5.88
"15" 18.95 16.42 6.248 3.755 3.368 6.148
"16" 10.91 12.8 5.088 2.675 4.179 4.956
"17" 12.46 13.41 5.236 3.017 4.987 5.147
"18" 15.38 14.9 5.884 3.268 4.462 5.795
"19" 16.16 15.33 5.845 3.395 4.266 5.795
"20" 11.87 13.02 5.132 2.953 3.597 5.132
"21" 10.59 12.41 4.899 2.787 4.975 4.794
"22" 19.14 16.61 6.259 3.737 6.682 6.053
"23" 15.03 14.77 5.702 3.212 1.933 5.439
"24" 11.4 13.08 5.136 2.763 5.588 5.089
"25" 12.44 13.59 5.319 2.897 4.924 5.27
"26" 17.08 15.38 5.832 3.683 2.956 5.484
"27" 11.14 12.79 5.011 2.794 6.388 5.049
"28" 14.37 14.39 5.569 3.153 1.464 5.3
"29" 14.52 14.6 5.741 3.113 1.481 5.487
"30" 19.38 16.72 6.303 3.791 3.678 5.965
"31" 14.49 14.61 5.715 3.113 4.116 5.396
"32" 12.74 13.67 5.395 2.956 2.504 4.869
"33" 11.18 12.72 5.009 2.81 4.051 4.828
"34" 15.11 14.54 5.579 3.462 3.128 5.18
"35" 17.36 15.76 6.145 3.574 3.526 5.971
"36" 18.17 16.26 6.271 3.512 2.853 6.273
"37" 19.94 16.92 6.675 3.763 3.252 6.55
"38" 10.74 12.73 5.145 2.642 4.702 4.963
"39" 14.99 14.56 5.57 3.377 2.958 5.175
"40" 11.35 13.12 5.176 2.668 4.337 5.132
"41" 12.62 13.67 5.41 2.911 3.306 5.231
"42" 11.23 12.82 5.089 2.821 7.524 4.957
"43" 20.71 17.23 6.579 3.814 4.451 6.451
"44" 13.54 13.85 5.348 3.156 2.587 5.178
"45" 12.22 13.32 5.224 2.967 5.469 5.221
"46" 21.18 17.21 6.573 4.033 5.78 6.231
"47" 18.98 16.57 6.449 3.552 2.144 6.453
"48" 13.37 13.78 5.32 3.128 4.67 5.091
"49" 13.34 13.95 5.389 3.074 5.995 5.307
"50" 10.8 12.57 4.981 2.821 4.773 5.063
"51" 18.98 16.66 6.549 3.67 3.691 6.498
"52" 11.42 12.86 5.008 2.85 2.7 4.607
"53" 15.99 14.89 5.363 3.582 3.336 5.144
"54" 12.55 13.57 5.333 2.968 4.419 5.176
"55" 14.59 14.28 5.351 3.333 4.185 4.781
"56" 13.45 14.02 5.516 3.065 3.531 5.097
"57" 16.77 15.62 5.927 3.438 4.92 5.795
"58" 16.19 15.16 5.833 3.421 0.903 5.307
"59" 18.96 16.2 6.051 3.897 4.334 5.75
"60" 12.89 13.77 5.495 3.026 6.185 5.316
"61" 13.84 13.94 5.324 3.379 2.259 4.805
"62" 18.45 16.12 6.107 3.769 2.235 5.794
"63" 12.36 13.19 5.076 3.042 3.22 4.605
"64" 15.49 14.94 5.757 3.371 3.412 5.228
"65" 18.72 16.19 6.006 3.857 5.324 5.879
"66" 12.78 13.57 5.262 3.026 1.176 4.782
"67" 18.89 16.23 6.227 3.769 3.639 5.966
"68" 15.38 14.66 5.477 3.465 3.6 5.439
"69" 17.32 15.91 6.064 3.403 3.824 5.922
"70" 13.07 13.92 5.472 2.994 5.304 5.395
"71" 18.27 16.09 6.173 3.651 2.443 6.197
"72" 14.46 14.35 5.388 3.377 2.802 5.044
"73" 16.41 15.25 5.718 3.525 4.217 5.618
"74" 20.1 16.99 6.581 3.785 1.955 6.449
"75" 14.11 14.18 5.541 3.221 2.754 5.038
"76" 17.99 15.86 5.89 3.694 2.068 5.837
"77" 13.89 14.02 5.439 3.199 3.986 4.738
"78" 18.94 16.49 6.445 3.639 5.064 6.362
"79" 14.86 14.67 5.678 3.258 2.129 5.351
"80" 16.84 15.67 5.998 3.484 4.675 5.877
"81" 18.75 16.18 6.111 3.869 4.188 5.992
"82" 12.11 13.47 5.159 3.032 1.502 4.519
"83" 14.7 14.21 5.205 3.466 1.767 4.649
"84" 15.01 14.76 5.789 3.245 1.791 5.001
"85" 20.88 17.05 6.45 4.032 5.016 6.321
"86" 12.19 13.2 5.137 2.981 3.631 4.87
"87" 12.67 13.32 4.984 3.135 2.3 4.745
"88" 13.5 13.85 5.351 3.158 2.249 5.176
"89" 12.73 13.75 5.412 2.882 3.533 5.067
"90" 12.7 13.71 5.386 2.911 3.26 5.316
"91" 11.41 12.95 5.09 2.775 4.957 4.825
"92" 12.79 13.53 5.224 3.054 5.483 4.958
"93" 13.16 13.55 5.138 3.201 2.461 4.783
"94" 12.11 13.27 5.236 2.975 4.132 5.012
"95" 15.36 14.76 5.701 3.393 1.367 5.132
"96" 11.84 13.21 5.175 2.836 3.598 5.044
"97" 18.88 16.26 6.084 3.764 1.649 6.109
"98" 11.36 13.05 5.175 2.755 4.048 5.263
"99" 12.13 13.73 5.394 2.745 4.825 5.22
"100" 13.2 13.66 5.236 3.232 8.315 5.056
"101" 11.21 13.13 5.279 2.687 6.169 5.275
"102" 10.93 12.8 5.046 2.717 5.398 5.045
"103" 16.87 15.65 6.139 3.463 3.696 5.967
"104" 12.08 13.23 5.099 2.936 1.415 4.961
"105" 15.05 14.68 5.712 3.328 2.129 5.36
"106" 13.94 14.17 5.585 3.15 2.124 5.012
"107" 14.29 14.09 5.291 3.337 2.699 4.825
"108" 14.8 14.52 5.656 3.288 3.112 5.309
"109" 14.11 14.1 5.42 3.302 2.7 5
"110" 16.12 15 5.709 3.485 2.27 5.443
"111" 19.13 16.31 6.183 3.902 2.109 5.924
"112" 12.76 13.38 5.073 3.155 2.828 4.83
"113" 12.37 13.47 5.204 2.96 3.919 5.001
"114" 11.55 13.1 5.167 2.845 6.715 4.956
"115" 11.49 13.22 5.304 2.695 5.388 5.31
"116" 16.14 14.99 5.658 3.562 1.355 5.175
"117" 14.11 14.26 5.52 3.168 2.688 5.219
"118" 15.56 14.89 5.776 3.408 4.972 5.847
"119" 11.18 13.04 5.22 2.693 3.332 5.001
"120" 13.74 14.05 5.482 3.114 2.932 4.825
"121" 11.24 13 5.09 2.715 3.521 5.088
"122" 19.11 16.26 6.154 3.93 2.936 6.079
"123" 12.72 13.57 5.226 3.049 4.102 4.914
"124" 12.05 13.41 5.267 2.847 4.988 5.046
"125" 18.72 16.34 6.219 3.684 2.188 6.097
"126" 18.14 16.12 6.059 3.563 3.619 6.011
"127" 14.01 14.29 5.609 3.158 2.217 5.132
"128" 14.16 14.4 5.658 3.129 3.072 5.176
"129" 16.23 15.18 5.872 3.472 3.769 5.922
"130" 15.38 14.77 5.662 3.419 1.999 5.222
"131" 13.16 13.82 5.454 2.975 0.855 5.056
"132" 11.19 13.05 5.25 2.675 5.813 5.219
"133" 11.34 12.87 5.053 2.849 3.347 5.003
"134" 19.57 16.74 6.384 3.772 1.472 6.273
"135" 15.57 15.15 5.92 3.231 2.64 5.879
"136" 19.46 16.5 6.113 3.892 4.308 6.009
"137" 12.3 13.34 5.243 2.974 5.637 5.063
"138" 14.09 14.41 5.717 3.186 3.92 5.299
"139" 18.43 15.97 5.98 3.771 2.984 5.905
"140" 15.5 14.86 5.877 3.396 4.711 5.528
"141" 18.81 16.29 6.272 3.693 3.237 6.053
"142" 12.8 13.47 5.16 3.126 4.873 4.914
"143" 18.59 16.05 6.037 3.86 6.001 5.877
"144" 11.65 13.07 5.108 2.85 5.209 5.135
"145" 12.02 13.33 5.35 2.81 4.271 5.308
