viajes;distancia;tiempo;modo_transporte;congestion;alta_congestion
3.93;-1.36;41.61;caminar;30.89;False
3.34;26.35;37.95;bicicleta;944.96;True
2.86;8.11;65.05;bicicleta;1145.92;False
3.12;8.00;88.65;bus;759.74;True
8.00;-11.15;75.81;caminar;-827.47;False
3.80;0.44;81.60;bicicleta;1.07;False
3.22;18.68;-1.01;bicicleta;-2.85;False
2.26;22.54;45.93;bus;1724.71;True
4.14;16.98;74.60;bicicleta;859.75;True
2.86;19.95;46.49;bicicleta;1075.52;True
0.63;18.57;85.35;bus;1443.96;True
2.21;13.39;53.97;auto;927.99;True
3.91;19.95;52.08;bus;1090.09;True
2.58;2.93;62.30;bicicleta;716.99;False
3.17;19.62;34.25;bicicleta;713.99;True
4.04;-3.05;25.18;bicicleta;29.01;False
3.37;13.24;70.43;bus;1046.22;True
1.70;12.15;59.00;bicicleta;872.39;False
1.70;38.61;44.97;scooter;2087.61;True
2.67;-2.38;9.68;bicicleta;462.89;False
3.71;2.99;36.98;bicicleta;548.07;False
8.71;41.29;62.32;bus;3358.11;True
9.84;24.97;62.84;bicicleta;1260.74;False
1.89;8.98;75.60;metro;1195.15;True
2.92;9.47;63.99;bicicleta;634.61;False
3.56;4.67;47.38;bicicleta;157.52;False
2.46;9.27;61.07;bicicleta;856.26;False
2.43;26.98;59.61;bus;1249.30;True
3.79;35.17;45.98;auto;1484.41;True
1.26;35.62;78.93;auto;1862.64;True
3.49;3.51;48.90;caminar;392.13;False
4.18;49.88;94.77;bus;3726.96;True
6.14;10.90;31.00;caminar;358.98;False
3.14;17.08;18.88;bicicleta;439.89;False
3.33;29.64;46.84;bicicleta;204.87;True
3.05;16.99;46.14;bicicleta;358.15;False
2.16;28.76;40.55;bicicleta;1618.68;True
3.52;4.30;59.47;bicicleta;377.39;False
2.25;21.35;106.22;bicicleta;1323.05;True
4.26;12.30;43.54;bicicleta;-437.99;False
2.69;13.19;23.83;caminar;224.55;False
4.00;9.88;36.64;bicicleta;722.14;False
2.61;5.18;37.24;caminar;298.80;False
3.26;46.00;16.49;bus;1053.34;True
7.96;59.99;123.22;bus;7165.54;True
3.31;0.95;62.15;caminar;339.25;False
2.43;28.70;80.01;auto;2601.87;True
5.06;5.55;46.23;caminar;690.77;False
4.21;15.25;57.45;caminar;936.00;False
2.14;17.37;81.54;bicicleta;979.16;False
3.32;8.96;17.45;bus;354.75;False
1.71;21.75;58.02;bus;1046.67;True
3.23;-13.12;64.63;caminar;-1295.96;False
3.26;15.05;55.54;bus;764.74;False
0.79;16.10;40.35;bus;789.49;False
2.72;7.92;15.52;auto;683.79;False
2.67;24.79;67.41;auto;1993.14;True
2.92;13.68;22.31;auto;-126.06;False
3.85;1.67;30.76;bicicleta;172.71;False
2.57;0.33;26.01;bicicleta;-110.02;False
3.23;9.07;52.21;bicicleta;983.81;True
3.42;8.57;43.24;bicicleta;863.01;False
3.99;14.52;37.90;bus;679.62;False
2.66;15.97;66.76;bus;1168.52;True
4.34;14.33;21.61;bus;-156.62;False
1.10;16.46;53.11;bus;925.06;True
1.66;18.89;76.62;bus;1330.99;True
3.27;32.29;42.00;bus;2035.25;True
2.81;10.58;47.26;bus;415.27;False
2.76;30.95;74.78;auto;1914.12;True
3.16;36.05;17.93;auto;363.04;False
1.47;20.38;57.96;bus;901.78;True
4.25;45.43;24.80;bus;635.72;True
3.34;16.15;23.84;bicicleta;-196.00;False
1.71;37.17;36.32;metro;1701.43;True
5.29;-3.39;78.12;caminar;-16.57;False
3.45;40.19;23.33;bus;1010.87;True
3.51;10.66;82.12;bus;1109.78;True
4.77;19.71;33.32;caminar;542.92;True
4.05;7.65;54.74;bicicleta;37.41;False
;11.78;41.94;caminar;-35.19;False
4.84;13.58;45.02;bus;786.14;True
1.08;1.39;49.31;bicicleta;461.09;False
3.49;3.74;47.60;bicicleta;255.29;False
3.07;8.71;33.98;bicicleta;264.04;False
