frecuencia;gasto;visitas;devoluciones;satisfaccion_cliente;valor_cliente;cliente_premium
4.32;30.92;27.89;2.93;1.35;275.00;False
3.13;166.09;31.43;1.98;3.58;181.24;False
4.10;98.78;64.90;4.48;2.27;419.52;True
7.53;50.07;20.90;0.89;0.94;528.88;True
3.96;42.75;9.94;2.80;1.01;369.24;False
3.88;65.92;21.00;2.06;1.74;509.50;False
4.94;63.97;40.93;1.23;0.56;198.73;False
5.06;13.11;28.43;0.75;0.62;17.26;False
4.92;23.69;27.37;1.18;1.09;41.25;False
4.53;35.88;26.59;2.38;0.80;281.01;False
2.72;38.11;74.84;2.72;1.21;72.42;False
2.10;63.33;15.92;1.57;0.95;127.74;False
7.78;86.05;57.74;-0.31;2.53;843.61;True
3.66;72.34;-5.72;0.54;2.36;482.55;True
8.53;77.33;74.14;2.52;0.97;403.00;True
6.44;17.20;61.91;;1.40;115.66;False
3.81;76.55;55.55;1.51;2.97;285.05;False
3.80;20.52;24.80;2.16;1.35;30.77;False
6.07;22.43;30.65;2.11;1.12;271.62;False
6.18;-31.99;50.91;3.36;0.74;-234.41;False
5.22;3.96;48.24;2.39;0.23;67.96;False
0.02;114.78;42.91;4.87;0.28;150.89;False
5.34;101.38;33.93;-0.12;2.40;559.77;True
7.13;14.93;51.53;1.51;1.65;384.65;False
7.13;34.78;42.86;-1.25;1.52;516.79;False
3.50;125.17;14.40;1.33;1.36;711.76;True
4.29;107.41;62.99;1.82;3.50;646.88;True
8.48;70.18;31.43;2.78;1.05;727.06;True
3.25;79.12;52.86;5.11;1.11;-11.30;False
4.11;54.84;50.62;1.58;1.44;275.16;False
8.51;46.09;9.52;0.59;1.54;430.80;True
5.80;67.85;20.66;4.24;1.48;485.56;True
5.62;44.38;18.79;1.63;1.71;287.37;False
4.36;90.70;43.29;0.85;1.46;214.94;True
10.27;153.85;80.64;9.29;1.69;740.54;False
5.04;42.79;62.72;0.44;0.64;383.63;True
5.90;32.52;42.01;0.14;2.55;218.08;False
5.16;23.12;18.47;0.17;1.67;184.76;
6.95;31.10;59.37;1.58;0.88;166.79;False
6.94;75.04;16.18;1.56;2.09;634.40;True
-0.42;114.47;85.69;7.88;1.50;-239.03;False
5.79;62.12;38.91;0.77;1.78;194.21;False
4.17;90.01;8.11;1.12;1.12;316.32;False
11.05;59.87;45.92;2.01;1.18;704.22;True
-0.30;21.27;66.38;2.61;0.96;17.50;False
1.45;65.64;20.60;3.44;0.48;60.04;False
4.92;43.23;37.93;1.37;2.20;286.40;False
2.88;84.56;28.93;1.01;4.03;198.39;False
9.57;47.18;57.65;0.28;1.73;580.85;True
10.06;98.12;89.96;2.10;1.68;669.39;False
4.48;71.54;35.34;3.12;0.97;446.86;False
7.48;29.95;51.69;4.16;0.72;266.92;False
3.87;39.56;47.69;7.27;1.55;181.53;False
4.10;48.82;63.00;-0.45;0.62;197.01;False
3.57;44.82;37.24;1.45;2.63;166.67;False
3.20;83.25;68.59;3.76;1.70;285.79;False
11.64;46.11;82.91;9.00;3.36;645.89;False
