pm25;no2;trafico;viento;contaminacion;alerta
60.19;25.50;49.08;3.46;146.33;False
72.43;68.94;;3.22;136.88;False
95.76;30.36;35.17;4.43;174.09;True
76.91;35.70;26.64;0.97;149.78;False
73.88;26.22;77.53;2.29;170.99;True
81.63;13.21;54.63;0.62;173.47;False
80.10;43.26;90.74;4.07;192.06;True
82.49;25.45;60.02;2.44;142.12;False
34.52;30.10;80.71;3.33;136.24;False
75.16;14.74;54.07;3.44;124.47;False
73.85;30.21;91.63;1.78;174.89;True
60.98;67.63;62.43;2.05;189.32;True
35.23;47.76;57.82;2.99;151.17;False
16.68;42.80;116.71;2.76;166.95;True
22.30;46.70;51.38;3.95;133.15;False
44.61;36.61;41.91;3.86;94.86;False
53.87;34.95;49.01;1.09;131.83;False
71.21;39.14;51.13;1.44;115.79;False
64.74;54.27;70.02;4.01;197.29;True
45.75;42.64;22.45;3.32;97.89;False
39.36;22.37;33.99;4.38;56.98;False
2.75;33.46;92.67;;120.53;False
79.42;48.90;15.51;1.82;144.48;False
63.21;27.90;38.52;4.65;88.73;False
105.87;6.87;32.80;4.72;117.23;False
57.47;39.97;76.84;1.68;200.51;True
64.41;62.61;69.28;3.01;133.01;True
63.29;37.94;57.66;4.25;136.99;False
87.41;60.34;58.01;4.34;210.43;True
67.35;39.30;64.25;3.24;121.68;False
43.50;53.27;42.41;0.26;176.80;True
55.55;33.53;21.53;1.29;102.77;False
84.44;48.82;97.41;1.49;219.75;True
77.19;51.25;;4.49;184.78;True
30.95;32.63;72.87;3.99;115.74;False
73.36;15.70;55.89;2.35;165.52;True
89.25;59.19;0.60;3.45;106.09;False
52.90;51.64;84.30;1.73;152.34;False
76.66;28.51;68.04;5.26;119.40;False
40.14;46.61;32.22;3.49;;False
93.88;41.66;76.46;1.43;179.43;True
41.79;44.94;74.51;3.71;193.64;True
37.57;82.75;45.83;1.02;154.61;False
46.82;33.51;27.34;1.24;83.97;False
45.41;26.72;51.64;2.35;137.90;False
14.57;74.35;69.88;3.17;137.87;False
43.77;47.13;48.97;;114.99;False
95.13;53.14;66.43;2.85;181.39;True
76.34;45.01;61.60;2.38;157.19;True
72.75;35.96;44.59;2.96;161.57;False
27.52;34.59;37.48;3.93;105.21;False
86.18;91.15;161.99;7.14;173.14;False
68.00;33.02;51.68;2.65;158.74;False
-17.56;56.95;77.85;2.00;129.38;False
47.50;23.86;74.49;6.62;52.93;False
76.82;58.88;58.66;2.58;171.20;True
11.12;21.59;16.31;1.21;40.25;False
49.15;49.38;80.95;2.10;184.16;True
58.80;25.01;68.15;3.50;134.44;False
45.28;48.55;66.85;2.60;158.70;False
51.98;40.28;95.15;1.85;184.03;True
12.04;24.50;34.39;3.18;71.40;False
65.70;61.95;81.69;4.03;204.16;True
24.00;43.76;75.28;2.62;117.27;False
45.63;50.15;40.66;2.30;132.85;False
63.49;47.12;53.97;2.91;178.05;True
79.01;62.39;34.34;4.21;143.65;False
11.97;25.60;43.76;2.71;74.47;False
263.33;54.30;269.05;8.47;350.75;True
34.88;6.78;13.55;2.99;31.29;False
;50.23;72.00;4.37;184.56;True
69.78;19.47;55.94;2.20;160.71;False
78.49;34.45;94.47;4.53;181.42;True
85.49;34.74;70.08;5.41;147.19;True
11.21;68.54;52.85;4.32;104.22;False
44.38;28.89;120.36;2.04;181.03;
35.65;57.24;66.29;3.63;156.11;False
29.68;37.92;67.76;2.77;121.13;False
7.23;4.18;68.42;3.93;75.86;False
77.20;58.15;75.16;3.50;159.58;
34.49;42.62;91.22;2.88;142.25;False
54.57;14.26;42.46;0.82;;False
9.91;29.19;58.23;4.07;76.53;False
50.39;44.36;55.82;2.38;112.38;False
48.02;;45.69;1.62;149.35;False
61.10;56.31;55.13;2.28;133.33;False
74.39;36.75;69.21;3.10;179.50;True
73.81;33.35;104.18;3.35;152.53;False
76.75;14.74;101.44;4.98;167.10;True
78.50;32.89;89.56;2.67;158.77;True
73.94;29.86;23.19;1.73;101.34;False
79.29;42.49;54.18;1.89;143.79;False
79.96;25.92;60.11;1.83;176.38;True
64.04;32.54;96.45;0.96;169.00;True
64.96;24.65;55.74;4.56;119.73;False
26.89;19.40;81.35;2.82;;False
37.40;40.40;49.37;3.88;139.29;False
34.77;74.07;53.60;4.33;102.08;False
48.01;29.35;75.00;1.90;;False
73.43;66.01;79.73;3.30;208.38;True
78.68;10.86;;1.68;119.18;False
15.14;18.51;31.30;2.82;66.59;False
29.70;38.50;48.51;2.87;90.48;False
29.62;-5.12;51.21;0.99;78.32;False
44.59;45.59;30.86;1.38;103.64;False
18.60;29.57;55.48;3.36;64.16;False
71.20;59.24;74.33;3.73;189.32;True
40.97;25.18;44.58;2.99;101.01;False
43.89;17.74;63.30;3.18;122.03;False
16.69;37.57;71.48;2.05;69.33;False
23.77;55.89;49.39;3.15;142.94;False
21.55;11.16;63.65;1.72;120.06;False
53.02;49.07;72.56;0.74;175.12;True
68.37;56.01;63.20;3.29;182.42;True
-11.27;67.57;154.74;8.75;117.38;False
26.97;12.18;95.88;2.99;95.43;False
65.21;24.02;55.68;2.62;151.45;False
41.90;84.61;35.48;3.48;194.37;False
69.77;36.37;90.87;3.48;173.89;True
28.29;27.52;44.35;2.51;137.56;False
78.51;36.46;48.51;2.76;156.95;True
63.64;;76.26;2.65;156.27;True
64.33;34.99;33.46;1.50;91.89;False
45.58;63.81;57.47;3.17;153.38;False
33.09;36.67;45.47;2.24;134.36;False
34.65;35.80;54.04;3.97;132.01;False
42.21;51.92;59.34;1.72;179.23;True
54.83;49.60;72.83;4.31;124.78;True
106.42;12.76;53.27;4.42;131.85;False
63.27;24.82;69.19;3.22;142.68;False
56.66;38.58;76.19;2.11;129.74;False
75.84;144.09;167.74;5.70;275.78;False
46.24;17.18;18.61;3.55;99.90;False
18.18;30.19;53.06;4.55;55.15;False
69.86;58.91;62.45;1.82;198.69;True
33.32;19.87;84.65;2.45;121.77;False
