horas;asistencia;tareas;retrasos;planificacion;nota_final;aprobado
3.84;73.96;69.29;1.33;3.13;3.23;False
4.82;75.53;73.74;3.10;2.84;5.11;True
4.66;79.65;;6.48;2.86;4.08;False
4.21;59.10;76.32;0.33;3.90;;False
1.79;69.16;75.83;3.99;2.05;3.11;False
4.08;72.84;88.02;2.23;3.19;4.90;True
3.92;73.53;75.68;3.01;3.45;4.02;True
3.73;69.24;86.28;-0.92;2.66;5.54;True
5.93;101.55;89.43;2.27;3.38;3.98;True
4.25;63.01;92.85;2.23;3.27;5.60;True
3.40;73.63;83.91;1.33;3.27;4.66;True
2.86;84.78;71.67;0.86;2.59;3.53;False
5.81;76.54;91.40;0.78;2.23;6.51;True
4.52;62.79;76.63;0.16;4.54;4.71;True
4.31;72.21;102.03;3.17;3.21;3.17;False
3.72;77.17;90.63;-0.39;2.22;4.62;True
6.14;46.36;83.50;-0.12;3.00;5.36;True
3.08;85.96;87.63;3.59;3.36;3.06;False
3.31;85.58;70.38;3.12;1.35;3.82;False
3.59;99.66;99.55;2.47;3.82;4.25;True
4.34;62.30;93.75;0.08;2.54;4.98;True
2.61;72.30;76.47;2.07;4.50;3.75;True
3.21;82.68;92.81;2.95;3.20;4.59;True
2.55;85.50;88.40;1.23;2.22;3.88;True
4.05;61.89;88.48;1.60;3.27;4.91;True
3.63;63.53;86.56;1.95;3.91;4.66;True
5.24;85.17;79.48;2.34;3.37;3.77;False
3.47;83.58;93.81;0.95;3.57;5.30;True
3.89;61.52;96.36;3.16;3.11;2.78;False
5.32;82.95;93.85;2.82;2.72;4.74;True
;57.79;93.64;2.37;3.23;3.87;False
4.32;71.05;97.60;2.87;3.14;4.60;True
4.26;86.93;81.65;2.95;2.40;4.08;False
5.23;83.13;75.05;-0.77;3.67;4.31;True
4.40;45.45;92.37;4.52;3.23;2.57;False
4.26;91.35;88.45;3.99;2.31;5.01;True
2.48;83.74;89.68;1.78;1.66;4.41;True
2.94;69.03;81.86;4.70;1.90;4.00;False
